NUTS_ID,NAME_LATN,AREA_TOT_2024,POP_TOT_2023,POP_09_RT_2023,POP_024_RT_2023,POP_65P_RT_2023,POP_80P_RT_2023,LIFE_EXP_2022,HIGH_EDU_2023,UNEMP_25P_2023,UNEMP_LT_25P_2023,GDP_CAP_PPS_2022,INC_PPS_2021,AREA_ART_RT,AREA_CUL_RT,AREA_BOI_RT,zone
DEA2,Köln,7365,4527594,9.620916,24.92121,20.718223,6.7326929,80.9,37.3,2.9,31.1,42900,21800,12.912423625254583,27.30482009504413,30.95723014256619,EU27
DEA3,Münster,6918,2664280,9.933265,25.38404,21.270137,6.7220037,80.2,28.3,2.6,38.2,34700,20900,15.278982364845332,44.30471234460826,20.17924255565192,EU27
DEA4,Detmold,6524,2085331,10.022869,25.7668,21.428445,7.1918559,80.6,28.9,2.1,51.9,38900,21800,10.254445125689761,43.27099938687922,25.24524831391784,EU27
DEA5,Arnsberg,8012,3600754,9.560359,24.38042,22.295025,7.2817527,79.7,27.5,3,40.8,35600,20900,14.241138292561159,18.08537194208687,43.33499750374438,EU27
DEB1,Koblenz,8075,1522508,9.500574,23.57735,23.386938,7.4096819,80.3,28.7,2.3,42.5,33900,21600,5.609907120743034,20.928792569659443,47.56656346749226,EU27
DEB2,Trier,4926,546565,9.198723,23.85224,21.820643,6.8445656,80.6,29.7,2.1,44.9,30000,21600,5.481120584652863,18.77791311408851,44.60008120178644,EU27
DEB3,Rheinhessen-Pfalz,6852,2090077,9.684571,24.19011,22.192627,7.0016559,80.8,34.3,3.2,41.2,41300,22200,12.15703444249854,31.91768826619965,37.784588441330996,EU27
DEC0,Saarland,2571,992666,8.587783,22.14552,24.755154,7.8400993,79.2,27,3.2,45.2,35100,20100,10.657331777518475,11.162971606378841,47.296771684169585,EU27
DED2,Dresden,7944,1598250,9.193243,23.07242,26.444611,9.4330674,81.5,36,2.5,53.8,33000,19900,6.482880161127895,32.17522658610272,35.196374622356494,EU27
DED4,Chemnitz,6528,1411556,8.428996,21.20249,29.73605,9.7764453,80.3,24.3,3.3,50.5,29600,20000,6.188725490196079,32.52144607843137,39.85906862745098,EU27
DED5,Leipzig,3978,1076346,9.48877,23.95754,22.843584,8.0194473,80.6,36.1,4.1,52.3,34600,19400,10.08044243338361,46.95827048768225,22.146807440925087,EU27
